Reference,SRR12717688,SRR12717689,SRR12717690,SRR12717691,SRR12717692,SRR12717693,SRR12717694,SRR12717695,SRR12717696,SRR12717697,SRR12717698
GCA_000432835.1,0.0,0.0,0.0,0.0,0.0,0.00017983686958795032,0.0,0.0,0.0,0.0,0.0
GCA_002861585.1,0.0,0.0,0.0,0.006587654352726189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_002861595.1,0.0022082839062349618,0.0,0.0009035891217220015,0.00029047014241855793,0.0,0.0,0.0,0.0,0.0037882464383137936,0.0,0.0
GCA_016781085.1,0.0,0.0015656216936167772,0.0,0.019686821802541037,0.037391691567836886,0.00957147669757945,0.019417208145141734,0.008602106648484648,0.0,0.02107028625388095,0.0022804094094487208
GCA_016781105.1,0.04838681778892112,0.002717338559906139,0.0128633732488029,0.0004633754908065492,0.0034278410831800545,0.0924649223548169,0.034850732523461284,0.02033303853923852,0.04960640892804505,0.015272419743797543,0.010602908548339935
GCA_016781115.1,0.009310453425827073,0.0037955230427645444,0.0,0.08173995016105796,0.0,0.0,0.0,0.0,0.018684713877399676,0.0,0.0
GCA_016781135.1,0.15413989088964525,0.05121047796711366,0.010165886737815148,0.023492665188732872,0.07715435206777102,0.011104703860139155,0.051865261347287334,0.04767806173734205,0.10608701727385253,0.13949758848978383,0.2751301805844475
GCA_016781225.1,0.04021040802157225,0.0,0.0,0.0005707139503413815,0.0,0.0,0.0,0.0,0.14116779398855311,0.0,0.0
GCA_016781485.1,0.018762411859067258,0.0014998097208829327,0.0,0.002426256220792833,0.0,0.0,0.0,0.0,0.05097665583518047,0.0,0.0
GCA_016781505.1,0.007165669037800476,0.058710794540057516,0.15958340613568459,0.2502534808090199,0.17013266959222242,0.09490725534253718,0.0819146125988173,0.04495698602237326,0.009528486614941281,0.13804537041672782,0.11454583269118675
GCA_016781525.1,0.0,0.0,0.0,0.005365701015708548,0.007326828459825831,0.0025107992565125544,0.0018470805142437427,0.001430065715637774,0.0,0.05275032821440546,0.003209220454341904
GCA_016781555.1,0.0,0.0009818237702704218,0.014910090292070155,0.00659757797609127,0.0015113717244636875,0.0,0.0,0.057578005396828176,0.0,0.005728752670413836,0.0
GCA_016781635.1,0.009469862473627138,0.005398434760655196,0.009053526699423468,0.01735761870377031,0.005901501912813184,0.003080238807414271,0.0022404210278743,0.0031782282822376273,0.00597639481980046,0.05635515034467094,0.005048877372113688
GCA_016781705.1,0.013430451577816839,0.014566781068474467,0.006068691836167962,0.006364079094601201,0.03816375547294076,0.08685408919404136,0.08034944097569569,0.00911346211033194,0.010905868687689566,0.0507394875974055,0.05681416248232347
GCA_016781725.1,0.28820982893137564,0.18390270038364215,0.052662857701954835,0.06672214483772267,0.01660998410953694,0.1510270847369785,0.059149255103221464,0.03996289296640963,0.2215710454241656,0.05160939085357329,0.09373437040781482
GCA_016781735.1,0.012308155406348309,0.01933309068054771,0.011737264157590396,0.013237678314877528,0.004569411558847138,0.039261889114857666,0.017072179902800435,0.049697634148861365,0.006752898248827135,0.01800058073004329,0.02101745711545678
GCA_016781775.1,0.0034522361829913807,0.07730585043041519,0.05269219053723648,0.0658252664850312,0.11080558621492387,0.11950955915710632,0.09728245368081063,0.02955559977228227,0.004435855218848821,0.10559452612928893,0.07612475404592393
GCA_016781845.1,0.0916595933560817,0.09966330919329729,0.03741626581313318,0.04093218777613358,0.06332443521495272,0.07609149982314603,0.08467307290790926,0.13983613548482568,0.08360140413978218,0.038597045508807666,0.06704611698231318
GCA_016781885.1,0.08358311119397395,0.0099250848577229,0.014388204871819278,0.07096511592332154,0.0004776014801784736,0.0060586531082596545,0.001734065935711346,0.001351330018606838,0.06426297584584913,0.007027697861992369,0.0032677981596034794
